Date,Open,High,Low,Close,Adj Close,Volume
24-05-2021,135.5,137.979996,134.389999,135.910004,135.910004,8543600
25-05-2021,137.399994,137.850006,133.559998,133.990005,133.990005,10435800
26-05-2021,134.940002,135.759995,133.720993,134.75,134.75,8179200
27-05-2021,135.070007,143.820007,134.5,143.169998,143.169998,21270200
28-05-2021,144.759995,145,140.25,140.399994,140.399994,12000600
01-06-2021,143.889999,146.089005,141.589996,144.309998,144.309998,16552100
02-06-2021,145.350006,152.699997,144.399994,151,151,16245100
03-06-2021,149.550003,151.119995,143.800003,144.190002,144.190002,11083300
04-06-2021,145.830002,151.570007,145,150.729996,150.729996,8534900
07-06-2021,150.960007,150.960007,146.399994,148.970001,148.970001,7780200
08-06-2021,150.600006,150.75,145.800003,147.009995,147.009995,7125800
09-06-2021,148.570007,149.360001,144.460007,144.850006,144.850006,5606500
10-06-2021,142.149994,147.449997,141.039993,146.119995,146.119995,9482500
11-06-2021,145.869995,148.949997,145.199997,148.440002,148.440002,4819900
14-06-2021,149.25,149.600006,146.850006,149.210007,149.210007,6107500
15-06-2021,149.199997,153.740005,148.839996,151.779999,151.779999,12007700
16-06-2021,150.949997,152.350006,146.919998,149.149994,149.149994,9632800
17-06-2021,148.990005,152.289993,148.612,150.699997,150.699997,8171300
18-06-2021,150.380005,154.800003,149.399994,152.520004,152.520004,11628900
21-06-2021,152.520004,152.610001,145.830002,149.699997,149.699997,8040200
22-06-2021,149.75,151.647003,148.399994,149.679993,149.679993,5790400
23-06-2021,149.759995,154.589996,147.800003,151.580002,151.580002,9335700
24-06-2021,152.669998,153.626999,149.860001,150.729996,150.729996,8173400
25-06-2021,151.229996,153.169998,149.279999,149.669998,149.669998,6452400
28-06-2021,148.615005,150.929993,147.080002,149.940002,149.940002,6451000
29-06-2021,149.75,149.940002,145.770004,146.080002,146.080002,7479000
30-06-2021,145.544998,154.089996,144.244995,153.139999,153.139999,9798600
01-07-2021,154.5,157.410004,151.410004,153.080002,153.080002,9787100
02-07-2021,153.309998,154.949997,149.559998,150.229996,150.229996,4826500
06-07-2021,150.080002,152.800003,147.809998,148.369995,148.369995,5069400
07-07-2021,148.149994,148.940002,143.600006,143.720001,143.720001,5650900
08-07-2021,140.429993,143.729996,139.529999,142.529999,142.529999,4827200
09-07-2021,143.300003,150.259995,143.300003,149.639999,149.639999,7065100
12-07-2021,148.990005,150.419998,146.009995,146.690002,146.690002,3276300
13-07-2021,147.695007,147.695007,143,143.410004,143.410004,5871500
14-07-2021,143.860001,144.199997,139.039993,139.089996,139.089996,8545500
15-07-2021,139.179993,140.520004,136.539993,137.5,137.5,6576100
